iter	Logloss
0	0.6875050218
1	0.6789547816
2	0.674329467
3	0.6701096748
4	0.6655976052
5	0.6616870402
6	0.6575860267
7	0.654421565
8	0.6512945669
9	0.6487571826
10	0.6465072489
11	0.6442196007
12	0.6424982336
13	0.6409937052
14	0.6399248005
15	0.6383318324
16	0.6378451885
17	0.636271558
18	0.6350741863
19	0.63352827
20	0.6323249747
21	0.6314555673
22	0.6304553696
23	0.629477933
24	0.6287013386
25	0.628107623
26	0.6274213979
27	0.6266137882
28	0.625908407
29	0.6253665482
30	0.6246943147
31	0.6241632236
32	0.6236283942
33	0.6232537169
34	0.6227533612
35	0.6221044334
36	0.6217961051
37	0.6214456967
38	0.6209873958
39	0.6204955199
40	0.6203304625
41	0.6197607529
42	0.6193696365
43	0.6188475142
44	0.6182053584
45	0.6177789527
46	0.6175937915
47	0.6173015814
48	0.6167772789
49	0.6161968252
50	0.6159031019
51	0.6155791123
52	0.6154939789
53	0.6152195533
54	0.6148713759
55	0.6146679403
56	0.6144970132
57	0.6140688575
58	0.6135973613
59	0.6134005497
60	0.6131911882
61	0.613072635
62	0.6129242769
63	0.6127488826
64	0.6126488486
65	0.6125200889
66	0.6120970713
67	0.6118016093
68	0.6116127638
69	0.611222559
70	0.6107790866
71	0.6105598062
72	0.6103491062
73	0.6101151778
74	0.6098178006
75	0.6095098096
76	0.6092791893
77	0.6092130743
78	0.6085874768
79	0.6084015621
80	0.6081778774
81	0.6079721933
82	0.6077565573
83	0.6075681698
84	0.6075339123
85	0.6074466109
86	0.6072790241
87	0.607110579
88	0.606972615
89	0.6068123986
90	0.6064781792
91	0.606319007
92	0.6061340129
93	0.6059425333
94	0.6057587182
95	0.605644281
96	0.6056442798
97	0.6054297461
98	0.6052468988
99	0.6050540406
100	0.6050211638
101	0.6049392973
102	0.6049330823
103	0.6047545118
104	0.6046433268
105	0.6045217337
106	0.6044373853
107	0.6043021279
108	0.6040861216
109	0.6040239765
110	0.6039390746
111	0.6038164056
112	0.6036527848
113	0.6034279837
114	0.6032550736
115	0.6031424922
116	0.6029883737
117	0.602839514
118	0.6026903583
119	0.6025497646
120	0.6024649945
121	0.6021823462
122	0.6021086587
123	0.6021036477
124	0.6020062424
125	0.6017946467
126	0.6017135759
127	0.6016210074
128	0.6013771628
129	0.6012468693
130	0.6011029677
131	0.601019267
132	0.6009462099
133	0.6008976615
134	0.6006310539
135	0.6004550848
136	0.6002465942
137	0.6001498173
138	0.5999197225
139	0.5998181152
140	0.5997198387
141	0.5994987125
142	0.5993522944
143	0.5992341674
144	0.599170025
145	0.5991643954
146	0.5991200157
147	0.5990746231
148	0.598920674
149	0.5989198534
150	0.5987900087
151	0.5987758324
152	0.5986801524
153	0.598516524
154	0.5985165191
155	0.5983553952
156	0.5983488311
157	0.5982327823
158	0.5981169072
159	0.5981101342
160	0.5980210605
161	0.5980163694
162	0.5979360989
163	0.5978843321
164	0.5977917495
165	0.597768872
166	0.5976986859
167	0.5976221914
168	0.5975887763
169	0.5974191399
170	0.597326349
171	0.5972382144
172	0.5971371732
173	0.5971113573
174	0.5971062204
175	0.5971062201
176	0.5970701458
177	0.5969891153
178	0.5969346841
179	0.59691509
180	0.5969068345
181	0.5968600801
182	0.5967732947
183	0.5966940841
184	0.5965759496
185	0.5964915042
186	0.596450767
187	0.5963845445
188	0.5963323442
189	0.5962843668
190	0.5962219082
191	0.5961168195
192	0.5960981294
193	0.5960652979
194	0.5959332457
195	0.5958676535
196	0.5958393435
197	0.5957851827
198	0.5957400792
199	0.5957124001
200	0.5955852192
201	0.5954346704
202	0.5954346704
203	0.5954026083
204	0.5953753782
205	0.5953086259
206	0.5952851035
207	0.5951389755
208	0.5951389749
209	0.5950998213
210	0.5950408259
211	0.5948936616
212	0.5948472
213	0.5947696937
214	0.5947128659
215	0.594704752
216	0.5945710079
217	0.5945589325
218	0.5945269571
219	0.5943697052
220	0.5943647824
221	0.5943108913
222	0.5941882817
223	0.5941474205
224	0.5941474197
225	0.5940980842
226	0.5940760846
227	0.5940303252
228	0.5938837864
229	0.5938120161
230	0.5937912818
231	0.5937294809
232	0.5936644161
233	0.5936328214
234	0.5936289506
235	0.5935053774
236	0.5934881649
237	0.5934152537
238	0.5933880742
239	0.593368286
240	0.5933146131
241	0.5932624783
242	0.5932514139
243	0.5931206578
244	0.5930808992
245	0.5929780813
246	0.5929117499
247	0.5928805587
248	0.5927266772
249	0.592622107
250	0.5923993585
251	0.5921593993
252	0.5921200266
253	0.591989658
254	0.5919363068
255	0.5918012256
256	0.591692506
257	0.5916910304
258	0.5915488908
259	0.5915472977
260	0.5915013211
261	0.5913735096
262	0.5912817136
263	0.5912492671
264	0.5912421149
265	0.5912420603
266	0.5911894331
267	0.591126671
268	0.5910570281
269	0.5910425637
270	0.5909776014
271	0.5908949946
272	0.5907442835
273	0.5906611765
274	0.5906421922
275	0.5905513243
276	0.5905292034
277	0.5904204168
278	0.5903533216
279	0.5902118508
280	0.5900959747
281	0.5900602665
282	0.5900039729
283	0.5897560981
284	0.5896807053
285	0.5895878382
286	0.5895026024
287	0.5894029666
288	0.5892932703
289	0.5891831787
290	0.5891094693
291	0.5889643082
292	0.588866919
293	0.5887561716
294	0.5886249891
295	0.5885134952
296	0.5884262622
297	0.5883203337
298	0.588263978
299	0.5881345849
300	0.5880389209
301	0.5879464336
302	0.587888533
303	0.5877914972
304	0.5876665714
305	0.5875172521
306	0.5874496461
307	0.5873561036
308	0.5872342141
309	0.5870922707
310	0.5869640772
311	0.5869081285
312	0.586702425
313	0.586593357
314	0.5864762944
315	0.5863762517
316	0.5862920111
317	0.5862108152
318	0.586117369
319	0.5860376616
320	0.585891605
321	0.5857774223
322	0.5855975122
323	0.5854283581
324	0.5853531879
325	0.5852477813
326	0.5851335855
327	0.585057898
328	0.5849713509
329	0.5848747076
330	0.5848095322
331	0.584689927
332	0.5845852528
333	0.5844480972
334	0.5843476418
335	0.5842335931
336	0.5841578053
337	0.5840762906
338	0.583988319
339	0.583937083
340	0.5838550196
341	0.5837794564
342	0.5836672127
343	0.5835651039
344	0.5834437948
345	0.5833685008
346	0.583272919
347	0.5831141231
348	0.5829664818
349	0.5828820151
350	0.5827722758
351	0.5826157524
352	0.5825635604
353	0.5824556278
354	0.5823034171
355	0.5821997435
356	0.5821017234
357	0.5819837077
358	0.5818769128
359	0.5817353347
360	0.5816520862
361	0.5815442061
362	0.5814697104
363	0.5814268266
364	0.581308012
365	0.5811880377
366	0.581093714
367	0.5810040315
368	0.5809120821
369	0.5808029944
370	0.5807595416
371	0.5806772167
372	0.5806039237
373	0.5804290333
374	0.580336344
375	0.5802944111
376	0.5802623452
377	0.5801677956
378	0.5801140971
379	0.5800199397
380	0.5799503291
381	0.5799259505
382	0.579843257
383	0.5796461565
384	0.5795706852
385	0.5794480657
386	0.5794114746
387	0.5793594816
388	0.5792790106
389	0.5792120022
390	0.5790533666
391	0.5789661296
392	0.5788521027
393	0.578734543
394	0.5786378165
395	0.5785425594
396	0.5784227132
397	0.5783358629
398	0.578278394
399	0.5782051279
